Questions,Difficulty
How many types of search modes are there in Splunk?,2
Check out this video on Hadoop Interview Questions and Answers:,3
What do you mean by the term or concept of Big Data?,1
What are the characteristics of Big Data?,1
What are the various steps involved in deploying a Big Data solution?,1
What are the core components of Hadoop?,1
What is the reason behind using Hadoop in Big Data analytics?,3
What do you understand by fsck in Hadoop?,3
Can you explain some of the important features of Hadoop?,1
What is Hadoop and what are its components?,3
In what all modes can Hadoop be run?,1
Name some of the major organizations globally that use Hadoop?,2
What are the real-time industry applications of Hadoop?,1
What is HBase?,1
What is a Combiner?,2
"Is it okay to optimize algorithms or codes to make them run faster? If yes, why?",3
What is the difference between RDBMS and Hadoop?,1
What is Apache Spark?,2
Can you list the components of Apache Spark?,2
What are the differences between Hadoop and Spark?,2
What is Apache Hive?,2
Does Hive support multiline comments? ,1
Explain the major difference between HDFS block and InputSplit,1
How is Hadoop different from other parallel computing systems?,2
Can you list the limitations of Hadoop?,3
Watch this insightful video to learn more about Hadoop:,3
What is distributed cache? What are its benefits?,2
Name the different configuration files in Hadoop,1
Can you skip the bad records in Hadoop? How?,3
What are the various components of Apache HBase?,3
What is the syntax to run a MapReduce program?,2
Which command will you give to copy data from the local system onto HDFS?,2
What are the components of Apache HBase’s Region Server?,2
What are the various schedulers in YARN?,3
What are the main components of YARN? Can you explain them?,2
"Explain the difference among NameNode, Checkpoint NameNode, and Backup Node",3
What are the most common input formats in Hadoop?,1
What are the most common output formats in Hadoop?,3
How to execute a Pig script?,3
What is Apache Pig and why is it preferred over MapReduce?,2
What are the components of the Apache Pig architecture?,3
Mention some commands in YARN to check application status and to kill an application.,2
What are the different components of Hive query processors?,2
What are the commands to restart NameNode and all the daemons in Hadoop?,2
Define DataNode. How does NameNode tackle DataNode failures?,2
What is the significance of Sqoop’s eval tool?,3
Can you name the default file formats for importing data using Apache Sqoop?,1
What is the difference between relational database and HBase?,2
What is the jps command used for?,2
What are the core methods of a reducer?,1
What is Apache Flume? List the components of Apache Flume,2
What are the differences between MapReduce and Pig?,2
List the configuration parameters in a MapReduce program,2
What is the default file size of an HDFS data block?,2
Why are the data blocks in HDFS so huge?,1
What is a SequenceFile in Hadoop?,2
What do you mean by WAL in HBase?,2
List the two types of metadata that are stored by the NameNode server,2
Explain the architecture of YARN and how it allocates various resources to applications?,1
What are the differences between Sqoop and Flume?,1
What is the role of a JobTracker in Hadoop?,2
"Can you name the port numbers for JobTracker, NameNode, and TaskTracker",1
What are the components of the architecture of Hive?,2
Is it possible to import or export tables in HBase?,3
Why does Hive not store metadata in HDFS?,2
What are the significant components in the execution environment of Pig?,1
What is the command used to open a connection in HBase?,2
What is the use of RecordReader in Hadoop?,2
How does Sqoop import or export data between HDFS and RDBMS?,3
What is speculative execution in Hadoop?,1
What is Apache Oozie?,2
What happens if you try to run a Hadoop job with an output directory that is already present?,2
How can you debug Hadoop code?,1
How to configure the replication factor in HDFS?,2
How to compress a mapper output not touching reducer output?,1
What are the basic parameters of a mapper?,1
What is the difference between map-side join and reduce-side join?,3
How can you transfer data from Hive to HDFS?,1
Which companies use Hadoop?,1
"
Find Big Data Hadoop Training in Other Regions",2
Compare Solr & ElasticSearch,2
What is Apache Solr?,3
What file contains configuration for data directory?,2
What file contains definition of the field types and fields of documents?,2
What are the features of Apache Solr?,2
What is Apache Lucene?,2
What is request handler?,2
What are the advantages and disadvantages of Standard Query Parser?,1
What all information is specified in field type?,1
Explain Faceting in Solr.?,2
Define Dynamic Fields?,2
What is Field Analyzer?,3
What is the use of tokenizer?,2
What is phonetic filter?,1
What is SolrCloud?,2
What is copying field?,3
What is Highlighting?,2
Name different types of highlighters?,3
What is the use of stats.field?,2
What command is used to see how to use the bin/Solr script?,1
Which syntax is used to stop Solr?,3
Which command is used to start Solr in foreground?,2
What syntax is used to check whether Solr is currently running or not?,1
Give the syntax to start the server.,2
How to shut down Apache Solr?,1
What data is specified by Schema?,2
Name the basic Field types in Solr?,2
How to install Solr?,2
What are the important configuration files of Solr?,3
What are the most common elements in solrconfig.xml?,2
Compare Spark & Storm,3
Which components are used for stream flow of data?,1
What are the key benefits of using Storm for Real Time Processing?,1
Does Apache act as a Proxy server?,1
What is the use of Zookeeper in Storm?,3
What is ZeroMQ?,3
How many distinct layers are of Storm’s Codebase?,3
What does it mean for a message to be ,3
When do you call the cleanup method?,3
How can we kill a topology?,1
What is combinerAggregator?,2
What are the common configurations in Apache Storm?,1
Is it necessary to kill the topology while updating the running topology?,3
How Storm UI can be used in topology?,3
Why does not Apache include SSL?,2
Does Apache include any sort of database integration?,2
"While installing, why does Apache have three config files – srm.conf, access.conf and httpd.conf?",3
How to check for the httpd.conf consistency and any errors in it?,2
Explain when to use field grouping in Storm? Is there any time-out or limit to known field values?,3
What is mod_vhost_alias?,1
Tell me Is running apache as a root is a security risk?,1
What is Multiviews?,3
Does Apache include a search engine?,2
Explain how you can streamline log files using Apache storm?,2
Mention how storm application can be beneficial in financial services?,2
Can we use Active server pages(ASP) with Apache?,1
Explain what is Toplogy_Message_Timeout_secs in Apache storm?,1
Mention the difference between Apache Kafka and Apache Storm?,2
What is ServerType directive in Apache Server?,1
In which folder are Java Application stored in Apache?,2
Explain the key features of Spark.,1
What is MapReduce?,3
Compare MapReduce with Spark.,1
Define RDD.,2
What does a Spark Engine do?,3
Define Partitions.,2
What operations does an RDD support?,3
What do you understand about Transformations in Spark?,1
Define Actions in Spark.,2
Check out this insightful video on Spark Tutorial for Beginners:,2
Define the functions of Spark Core.,3
What is RDD Lineage?,2
What is Spark Driver?,3
What is Hive on Spark?,3
Name the commonly used Spark Ecosystems.,3
Define Spark Streaming.,3
What is GraphX?,2
What does MLlib do?,3
What is Spark SQL?,1
What is a Parquet file?,3
What file systems does Apache Spark support?,2
What is Directed Acyclic Graph in Spark?,1
What are deploy modes in Apache Spark?,1
Roles of receivers in Apache Spark Streaming?,1
What is YARN?,3
List the functions of Spark SQL.,1
What are the benefits of Spark over MapReduce?,1
Is there any benefit of learning MapReduce?,2
What is a Spark Executor?,2
Name the types of Cluster Managers in Spark.,1
What do you understand by a Worker node?,2
What is PageRank?,1
Do you need to install Spark on all the nodes of the YARN cluster while running Spark on YARN?,2
Illustrate some demerits of using Spark.,2
How to create an RDD?,3
What are Spark DataFrames?,1
What are Spark Datasets?,1
Which languages can Spark be integrated with?,1
What do you mean by in-memory processing?,2
What is lazy evaluation?,3
Here is a Mapreduce Tutorial Video by Intellipaat,3
Compare MapReduce and Spark,2
Illustrate a simple example of the working of MapReduce.,1
What are the main components of MapReduce Job?,2
What is Shuffling and Sorting in MapReduce?,3
What is Partitioner and its usage?,2
What is Identity Mapper and Chain Mapper?,1
What main configuration parameters are specified in MapReduce?,3
Name Job control options specified by MapReduce.,3
What is InputFormat in Hadoop?,3
What is the difference between HDFS block and InputSplit?,2
What is Text Input Format?,1
What is JobTracker?,2
Explain job scheduling through JobTracker.,2
What is SequenceFileInputFormat?,2
How to set mappers and reducers for Hadoop jobs?,2
Explain JobConf in MapReduce.,3
What is a MapReduce Combiner?,2
What is RecordReader in a Map Reduce?,3
Define Writable data types in MapReduce.,1
What is OutputCommitter?,3
What is a “map” in Hadoop?,1
What is a “reducer” in Hadoop?,2
What are the parameters of mappers and reducers?,2
What are the key differences between Pig vs MapReduce?,3
What is partitioning?,2
How to set which framework would be used to run mapreduce program?,2
What platform and Java version is required to run Hadoop?,3
Can MapReduce program be written in any language other than Java?,3
Compare HDFS & HBase,1
What is Hadoop ?,1
Check out this video on Hadoop Tutorial for Beginners:,1
Who is the provider of Hadoop?,1
What is the use of Hadoop?,3
What are the operating systems on which Hadoop works?,3
What is meant by Big Data?,1
Can you indicate Big Data examples?,1
What are major characteristics of Big Data?,1
What is the use of Big Data Analysis for an enterprise?,3
What are the characteristics of data scientists?,3
What are the basic characteristics of Hadoop?,1
Which are the major players on the web that uses Hadoop?,1
How is Hadoop different from traditional RDBMS?,3
What are the main components of Hadoop?,2
What is HDFS?,3
What are the main features of HDFS?,3
Why replication is pursued in HDFS though it may cause data redundancy?,2
Would the calculations made on one node be replicated to others in HDFS?,3
What is meant by streaming access?,2
What is meant by ‘commodity hardware’? Can Hadoop work on them?,3
Which one is the master node in HDFS? Can it be commodity?,3
What is meant by Data node?,3
What is daemon?,3
What is the function of ‘job tracker’?,1
What is the role played by task trackers?,3
What is meant by heartbeat in HDFS?,3
Is it necessary that Name node and job tracker should be on the same host?,1
What is meant by ‘block’ in HDFS?,2
Can blocks be broken down by HDFS if a machine does not have the capacity to copy as many blocks as the user wants?,3
What is the process of indexing in HDFS?,1
How a data node is identified as saturated?,2
What type of data is processed by Hadoop?,2
How Name node determines which data node to write on?,2
Who is the ‘user’ in HDFS?,3
How the client communicates with Name node and Data node in HDFS?,3
What is a rack in HDFS?,3
Compare Kafka and Flume.,2
What are the elements of Kafka?,2
What role does ZooKeeper play in a cluster of Kafka?,3
What is Kafka?,3
Why do you think the replications to be dangerous in Kafka?,1
What major role does a Kafka Producer API play?,1
Distinguish between Kafka and Flume?,2
Describe partitioning key.,1
"Inside the manufacturer, when does the QueueFullException emerge?",2
Can Kafka be utilized without ZooKeeper?,2
Elaborate the architecture of Kafka.,2
How to start a Kafka server?,1
What are consumers or users?,3
Describe an Offset.,3
What do you know about a partition key?,3
Why is Kafka technology significant to use?,3
Compare Couchbase and MongoDB,1
Is Couchbase an open sourse software?,3
What is Couchbase Server?,1
What are the basic features of the Couchbase server?,3
Distinguish between CouchDB and Couchbase server.,2
How many functional blocks have involved in Couchbase server and brief about them?,1
What is vBucket?,1
What are the 4 subsystems which function on every node?,2
What vBucket Map represents?,3
What are the TCP ports used to listen to the requests?,3
What is the importance of creating a Data Bucket?,3
"
Find MongoDB Training in Other Regions",2
Compare Pig and Hive.,3
"Does Pig differ from MapReduce? If yes, how?",3
Explain the uses of Map Reduce in Pig.,1
Explain the uses of PIG.,2
Name the scalar data type and complex data types in Pig.,2
"State the usage of ‘filters’, ‘group’ , ‘orderBy’, ‘distinct’ keywords in pig scripts.",1
Explain the LOAD keyword in Pig script.,3
What are the relation operations in Pig? Explain any two with examples.,3
Does Pig support multi-line commands?,2
Explain different execution modes available in Pig.,3
What are the exception handling operators in Pig script?,3
Differentiate between the physical plan and logical plan in Pig script.,2
Is Pig script case sensitive?,2
Highlight the difference between group and Cogroup operators in Pig.,3
What is the function of UNION and SPLIT operators? Give examples.,3
How can we see only top 15 records from the student.txt out of 100 records in the HDFS directory?,3
What is the use of BloomMapFile?,3
How does the Pig platform handle relational systems data?,1
What are the drawbacks of Pig?,2
Mention the common features in Pig and Hive.,2
Differentiate between Pig Latin and Pig Engine.,2
Explain the terms in the below syntax.EXPLAIN [-script pigscript] [-out path] [-brief] [-dot] [-paramparam_name = param_value] [-param_filefile_name] alias;,1
What are all stats classes in the org.apache.pig.tools.pigstats package?,1
Watch this video on Hadoop Training for Beginners:,1
Differentiate between Pig and Hive.,1
How to skip header rows from a table in Hive?,2
What is a Hive variable? What do we use it for?,2
Explain the process to access subdirectories recursively in Hive queries.,1
"Can we change the settings within a Hive session? If yes, how?",2
"Is it possible to add 100 nodes when we already have 100 nodes in Hive? If yes, how?",2
Explain the concatenation function in Hive with an example.,1
Explain the Trim and Reverse functions in Hive with examples.,3
How to change the column data type in Hive? Explain RLIKE in Hive.,1
What are the components used in Hive Query Processor?,2
What are Buckets in Hive?,2
What kind of data warehouse application is suitable for Hive? What are the types of tables in Hive?,1
What is the definition of Hive? What is the present version of Hive? Explain ACID transactions in Hive.,3
What is the maximum size of a string data type supported by Hive? Explain how Hive supports binary formats.,2
What is the precedence order of Hive configuration?,1
"If you run a select * query in Hive, why doesn't it run MapReduce?",2
How can we improve the performance with ORC format tables in Hive?,3
Explain the functionality of ObjectInspector.,1
"Whenever we run a Hive query, a new metastore_db is created. Why?",2
Differentiate between Hive and HBase.,3
How can we access the subdirectories recursively?,3
What are the uses of Hive Explode?,2
What is the available mechanism for connecting applications when we run Hive as a server?,3
How do we write our own custom SerDe?,1
Mention various date types supported by Hive.,3
"Can we run UNIX shell commands from Hive? Can Hive queries be executed from script files? If yes, how? Give an example.",1
Compare Sqoop and Flume,3
Name a few import control commands. How can Sqoop handle large objects?,2
How can we import data from particular row or column? What is the destination types allowed in Sqoop import command?,2
Role of JDBC driver in sqoop setup? Is the JDBC driver enough to connect the sqoop to the database?,2
Using Sqoop command how can we control the number of mappers?.,3
How will you update the rows that are already exported? Write sqoop command to show all the databases in MySQL server.,1
Define Sqoop metastore? What is the purpose of Sqoop-merge?,3
Explain the saved job process in Sqoop.,2
How Sqoop word came ? Sqoop is which type of tool and the main use of sqoop?,1
"How to enter into Mysql prompt, and explain the command parameter indicates?",2
"I am getting connection failure exception during connecting to Mysql through Sqoop, what is the root cause and fix for this error scenario?",1
I am getting java.lang.IllegalArgumentException: during importing tables from oracle database.what might be the root cause and fix for this error scenario?,3
How can you list all the columns of a table using Apache sqoop?,1
How to create a table in Mysql and how to insert the values into the table ?,2
What are the basic commands in Hadoop Sqoop and its uses?,2
Is sqoop same as to distcp in hadoop?,3
For each sqoop copying into HDFS how many MapReduce jobs and tasks will be submitted?,2
How can Sqoop be used in Java programs?,3
"I am having around 500 tables in a database. I want to import all the tables from the database except the tables named Table 498, Table 323, and Table 199. How can we do this without having to import the tables one by one?",3
Explain the significance of using –split-by clause in Apache Sqoop?,2
Compare SAP BO with SAS BI.,2
Explain the SUBSTR function.,3
Define the TRANSLATE function.,3
Explain PROC SORT.,3
Describe PROC UNIVARIATE.,2
Elucidate the APPEND procedure.,1
Explain the BMDP procedure.,1
Define RUN-group Processing.,3
Describe BY-group Processing.,2
What do a CALENDAR procedure do?,3
What are the functions used for character handling in SAS?,3
What is the use of the DIVIDE function?,3
Explain the BOR function.,1
What do you mean by CALL PRXFREE Routine?,2
Explain CALL PRXCHANGE Routine.,3
Define the ANYDIGIT function.,2
What do you understand by CALL MISSING Routine?,1
What do you mean by the ALTER= Data Set option?,1
Explain the COMPRESS= Data set option.,2
Define Formats.,2
How are Variable Formats handled by PROC COMPARE?,3
What are the features of the SAS system?,1
What is the use of $BASE64X?,2
Describe the VFORMATX function.,3
Define the STD function.,2
How can a SAS program be validated?,3
What is Debugging?,2
Elucidate the FILECLOSE data set option.,3
What does ODS stand for?,3
What does CDISC stand for?,3
Which method is used to copy blocks of data?,3
What is the procedure for copying an entire library?,3
Define the max() function.,3
What is the use of the SYSRC function?,2
Explain SAS. What are the functions it performs?,1
Describe the basic structure of a SAS program.,3
What is DATA Step?,3
What is PDV?,3
"In SAS, which statement does not perform automatic conversions in comparisons?",1
What is the difference between the NODUPKEY and NODUP options?,3
What is the use of the function PROC SUMMARY?,2
What are PROC PRINT and PROC CONTENTS used for?,2
What does PROC GLM do?,2
What is SAS Informat?,1
What does the function CATX syntax do?,2
Explain the use of PROC GPLOT.,2
How to sort in descending order?,1
What do put and the input functions do?,2
What is the difference between VAR B1 – B3 and VAR B1 -- B3?,1
What is the basic syntax style in SAS?,2
What are the special Input Delimiters?,2
What is the difference between a format and an informat?,2
Describe any one SAS function.,3
What is PDV) and what are its functions?,3
"Distinguish between SAS, Stata, and SPSS.",1
What are the uses of SAS?,2
How do we create a SAS data set with Compressed Observations?,1
How can we minimize the space requirement of a huge data set in SAS for window?,3
Compare OBIEE & Tableau,3
Explain the Architecture of OBIEE 11g and function of each components?,1
How we can extract sql from OBIEE for reports?,3
How can you sort in Reports in OBIEE 11g?,3
How we can do different types of narrative Reports in OBIEE?,1
How will you create Interactive Dashboards ?,2
What is write-back in obiee ?,3
How will you execute Direct SQL in OBIEE?,1
How OBIEE Developer can create report from two subject areas?,2
What are the different types of variables in OBIEE 11g? explain,2
"How we can Port changes for dashboards, reports, rpd from development to production?",2
How will you enable or disable caching in the system level and table level?,1
How will you go about adding additional column to the repository in the presentation layer?,2
"How will effect the changes for a report, if for certain users only the column heading in the report should be changed?",2
What is a table alias in OBIEE 11g? Where and how will you create it?,3
Have you created Hierarchy in OBIEE 11g. if so where and how?,3
What is Level Based Metrics? How we can create it?,2
What are the different layers of OBIEE 11g Repository?,3
What is Authentication? How many types of authentication.,2
What is a bridge table ?,1
How Time based triggered report can be generated?,1
What is ibot?,3
What are different types of joins that are possible in OBIEE RPD?,1
How we can have two different columns from two different tables or subject areas?,3
How can we use saved filters and where we will save the filters?,1
Have you worked in dashboard? when we run a dashboard? how will we stop the dashboard report run automatically?,3
Define surrogate key.,2
Define repository in terms of Siebel Analytics.,3
Explain the end to end life cycle of Siebel Analytics?,2
How does Siebel Architecture works? Explain the three layers.,3
If we have 3 facts and 4 dimension and we need to join would you recommend joining fact with fact? If no than what is the option?,2
What is connection pool and how many connection pools did we have in our last project?,3
Define JDK and why do we need it?,1
"Oracle doesn’t recommend Opaque Views because of performance considerations, so why/when do we use them?",1
Can we migrate the presentation layer to a different server.,1
How we can identify the dimension tables and how we can decide them during the Business/Data modeling?,1
Why do we have multiple LTS in BMM layer? What is the purpose?,3
What is the full form of rpd?,2
How we can disable cache for only 2 particular tables?,1
How we can split a table in the rpd given the condition. ( the condition given was Broker and customer in the same table) Split Broker and customer.,3
What type of protocol did we use in SAS?,3
Can we have multiple data sources in Siebel Analytics?,2
How we can deal with case statement and expressions in siebel analytics?,1
What do you know about Initialization Blocks?,3
Explain query repository tool?,1
How can you bypass siebel analytics server security ?,3
Where we can add new groups and set permissions? Explain what is R?,2
What are the things we can do in the BMM layer?,1
Where are passwords for userid?,3
Define pipeline.,3
What are the Key Configuration Files in OBIEE?,3
Give a brief introduction of OBIEE?,2
What Is the Oracle BI Presentation Catalog?,2
What is OBIEE 11G?,1
Explain the main features of OBIEE 11G?,3
Explain Oracle Business Intelligence Applications?,2
Define repository in terms of OBIEE?,3
What is the end to end life cycle of OBIEE?,1
What is the purpose of Alias Tables?,1
What is Authentication? How many types of authentication do we have in OBIEE?,3
What is aggregate navigation? How do you configure the Aggregate tables in OBIEE?,2
Difference between a session and repo variable?,2
What kind of sources can be connected to OBIEE?,1
Compare Pentaho & Tableau,3
Define Pentaho and its usage.,3
Explain the important features of Pentaho.,2
Name major applications comprising Pentaho BI Project.,3
What is the importance of metadata in Pentaho?,3
Define Pentaho Reporting Evaluation.,2
Explain the benefits of Data Integration.,2
What is MDX and its usage?,3
Define three major types of Data Integration Jobs.,3
Illustrate the difference between transformations and jobs.,3
How to perform database join with PDI (Pentaho Data Integration)?,1
Explain how to sequentialize transformations?,2
Explain Pentaho Reporting Evaluation.,1
Can fieldnames in a row duplicated in Pentaho?,3
Does transformation allow filed duplication?,1
How to use database connections from repository?,3
Explain in brief the concept Pentaho Dashboard.,2
How to use logic from one transformation/job in other process?,3
Explain the use of Pentaho reporting.,3
What is Pentaho Data Mining?,1
Is Data Integration and ETL Programming same?,1
Explain Hierarchy Flattening.,2
Give a brief about PDI architecture.,2
Explain Pentaho report Designer (PRD).,3
Define Pentaho Report types.,1
What are variables and arguments in transformations?,1
How to configure JNDI for Pentaho DI Server?,1
"
Find MSBI Training in Other Regions",3
What is MSBI? What are the tools that MSBI comprises?,1
How is SSIS related to SQL Server?,2
What are the tools associated with SSIS?,2
What is a workflow? What do you mean by a control flow and a data flow? ,2
Mention the errors in SSIS and explain how error handling works. ,1
Define environmental variables in SSIS.,1
What are different lookup cache modes available in SSIS? ,3
Explain the architecture of SSIS.,3
How can we do logging in SSIS? ,2
How do you deploy SSIS packages?,1
How can we organize SSIS packages on production?,1
Define query parameters in SSRS.,3
What are variables? Define the variable scope.,3
Define SSRS and also talk about the SSRS architecture. ,3
Explain the Reporting Life Cycle in SSRS. ,1
When shall we use a null data-driven subscription? ,2
What do you mean by matrix in SSRS? What are sub-reports and how do we create them? ,1
Define Report Model Project. ,3
What do you mean by Report Server Project?,3
Define RS.exe Utility.,2
What are the three different parts of RDL files? ,1
What are the different data sources used in SSRS? ,2
Differentiate between Tabular and Matrix Reports. ,1
How to send SSRS Reports from SSIS? ,3
What is SSAS? List out its key features.,3
What is the significance of UDM in SSAS? ,1
What is the architecture of SSAS? ,3
What languages are used in SSAS?,3
How are cubes implemented in SSAS? ,3
What is writeback? What are its preconditions? ,3
Compare QlikView with Tableau.,3
What chart types do we use in QlikView Admin?,3
Explain Set Analysis in QlikView.,1
Define Trellis chart.,3
Explain Mini chart. What do you mean by sub-reports and how can you create them?,3
What is a Pivot table?,1
Which graph can you use for 2 years' difference sales?,1
What is a Straight table?,1
